ISO 639-3,Language,Family,Genus,Speakers,Script,Basic Word Order,Polysynthetic?,Parts,Total sentences (LaBSE),Total in-family sentences (LaBSE),Total in-genus sentences (LaBSE),Total sentences (LASER),Total in-family sentences (LASER),Total in-genus sentences (LASER),Average F1 (LaBSE),Average F1 (LASER),Average G-H dist. (LaBSE),Average G-H dist. (LASER),Average SVG (LaBSE),Average SVG (LASER),Average ECOND-HM (LaBSE),Average ECOND-HM (LASER),Grand mean margin score (LaBSE),Grand mean margin score (LASER)
acu,Achuar-Shiwiar,Jivaroan,Achuar-Shiwiar,"5,000",Latin,SOV,0,New Testament,0,0,0,0,0,0,0.0757,0.0017,2.3781,2.1466,13602.1075,45577.7052,0.1513,0.0017,0.6758,0.589
afr,Afrikaans,Indo-European,Germanic,"5,000,000",Latin,SVO,0,COMPLETE,44070000,11616265100,3916959000,67000,377177649,259221917,0.0796,0.0006,1.0679,1.0767,13590.4688,40369.8357,0.1593,0.0006,0.688,0.5948
agr,Aguaruna,Jivaroan,Jivaroan,"38,300",Latin,SOV,1,New Testament,0,0,0,0,0,0,0.1592,0.1163,1.0348,1.0228,14199.8104,41266.978,0.3183,0.1163,0.7088,0.6276
ake,Akawaio,Carib,Northern,"4,500",Latin,SOV,1,New Testament,0,0,0,0,0,0,0.328,0.0428,1.0134,1.1434,14121.723,41196.549,0.656,0.0428,0.9716,0.6838
als,Albanian,Indo-European,Albanian,"3,000,000",Latin,SVO,0,COMPLETE,89270000,11616265100,89270000,3200000,377177649,3200000,0.331,0.2446,1.0041,1.0569,13846.935,41254.6318,0.6621,0.2446,1.0213,0.7387
amh,Amharic,Afro-Asiatic,Semitic,"17,500,000",Ethiopic,SOV,0,COMPLETE,29492000,495945000,475664000,88000,12677000,12388000,0.3352,0.2687,1.0243,1.0603,14154.8738,41209.6274,0.6704,0.2687,1.016,0.7547
amu,Amuzgo,Oto-Manguean,Amuzgoan,"23,000",Latin,VSO,0,New Testament,0,0,0,0,0,0,0.3389,0.2345,1.02,1.0507,14174.5978,41236.3981,0.6778,0.2345,1.0306,0.7493
arb,Arabic,Afro-Asiatic,Semitic,"206,000,000",Arabic,Mixed,0,COMPLETE,197900000,495945000,475664000,8200000,12677000,12388000,0.0893,0.0002,1.0782,0.9933,13591.0056,40312.5597,0.1785,0.0002,0.6849,0.5831
djk,Aukan,Creole,English based,"15,500",Latin,SVO,0,New Testament,0,0,0,0,0,0,0.0037,0.0002,1.9285,1.6907,16011.7665,85374.235,0.0074,0.0002,0.4284,0.6527
bsn,Barasana-Eduria,Tucanoan,Eastern Tucanoan,"1,890",Latin,OVS,1,New Testament,0,0,0,0,0,0,0.0883,0.0015,1.0818,1.0905,13602.7393,40627.6007,0.1766,0.0015,0.6873,0.582
eus,Basque,Basque,Basque,"700,000",Latin,SOV,0,New Testament,52730000,52730000,52730000,1200000,1200000,1200000,0.3271,0.0076,1.5135,1.5214,14242.9499,42211.524,0.6542,0.0076,0.985,0.5869
bul,Bulgarian,Indo-European,Slavic,"9,000,000",Cyrillic,SVO,0,COMPLETE,152800000,11616265100,3338920000,4900000,377177649,49200000,0.3281,0.0883,1.4317,1.3434,14299.0332,41841.0041,0.6562,0.0883,0.9897,0.7063
cjp,Cabécar,Chibchan,Talamanca,"8,840",Latin,SOV,0,New Testament,0,0,0,0,0,0,0.0651,0.0003,1.1755,1.1468,13556.8201,39834.2045,0.1302,0.0003,0.7047,0.4558
cak,Cakchiquel,Mayan,Quichean,"132,000",Latin,SVO,1,New Testament,0,0,0,0,0,0,0.3254,0.164,4.1451,3.7649,14237.4074,53317.4215,0.6508,0.164,0.983,0.5971
cni,Campa (Asháninka),Arawakan,Maipuran,"26,100",Latin,VSO,1,New Testament,0,0,0,0,0,0,0.3242,0.1089,1.1085,1.0215,14247.9244,40275.884,0.6485,0.1089,1.0032,0.4999
kbh,Camsá,Equatorial (?),Camsá,"4,770",Latin,Mixed,1,New Testament,0,0,0,0,0,0,0.0723,0.0006,1.0439,1.0543,13585.2737,40660.0717,0.1446,0.0006,0.6385,0.5801
ceb,Cebuano,Austronesian,Malayo-Polynesian,"15,800,000",Latin,VSO,0,COMPLETE,11081000,517929400,517929400,0,0,0,0.3225,0.12,1.0993,1.0334,14344.5217,40441.5711,0.645,0.12,0.9875,0.5702
chr,Cherokee,Iroquoian,Southern Iroquoian,"16,400",Cherokee,SOV,1,New Testament,0,0,0,0,0,0,0.0006,0.0003,2.0529,1.6298,15760.0338,63220.8455,0.0013,0.0003,0.3179,0.5902
chq,Chinantec (Quiotepec),Oto-Manguean,Chinantecan,"8,000",Latin,VSO,0,New Testament,0,0,0,0,0,0,0.0968,0.0003,1.0412,1.0403,13584.837,40337.3285,0.1937,0.0003,0.7197,0.5836
cmn,Chinese,Sino-Tibetan,Sinitic,"840,000,000",Chinese,SVO,0,COMPLETE,1270000000,1313269000,1270000000,8300000,8308000,8306000,0.1122,0.0015,2.264,2.0243,13587.5595,43564.7024,0.2245,0.0015,0.737,0.6011
cmn,Chinese (tokenised),Sino-Tibetan,Sinitic,"840,000,000",Chinese,SVO,0,COMPLETE,1270000000,1313269000,1270000000,8300000,8308000,8306000,0.3406,0.2234,1.0123,1.0022,14242.8949,40861.8169,0.6811,0.2234,1.0277,0.64
cop,Coptic,Afro-Asiatic,Egyptian,0,Coptic,SVO,0,New Testament,0,0,0,0,0,0,0,0.0001,5.8134,8.4247,784849.7936,1158218.4791,0,0.0001,0.2559,0.5819
hrv,Croatian,Indo-European,Slavic,"5,500,000",Latin,SVO,0,COMPLETE,128900000,11616265100,3338920000,4000000,377177649,49200000,0.3333,0.0001,1.04,1.1452,13938.6149,40383.0058,0.6666,0.0001,1.0088,0.5114
ces,Czech,Indo-European,Slavic,"9,500,000",Latin,SVO,0,COMPLETE,263000000,11616265100,3338920000,5500000,377177649,49200000,0.3516,0.1992,1.0341,1.0029,13988.4063,40525.3636,0.7032,0.1992,1.1113,0.5814
dan,Danish,Indo-European,Germanic,"5,500,000",Latin,SVO,0,COMPLETE,177100000,11616265100,3916959000,7900000,377177649,259221917,0,0.0001,1.9969,1.8409,390334.2744,873464.6633,0,0.0001,0.5611,-0.338
dik,Dinka,Nilo-Saharan,Eastern Sudanic,"450,000",Latin,Mixed,0,New Testament,0,0,0,0,0,0,0.3268,0.1795,1.0398,0.998,14192.5251,41081.2691,0.6537,0.1795,0.9926,0.6853
nld,Dutch,Indo-European,Germanic,"15,700,000",Latin,Mixed,0,COMPLETE,451000000,11616265100,3916959000,8400000,377177649,259221917,0.0315,0.0001,2.2455,2.0755,13576.4524,44217.3835,0.063,0.0001,0.5689,0.5821
eng,English,Indo-European,Germanic,"328,000,000",Latin,SVO,0,COMPLETE,2000000000,11616265100,3916959000,220242917,377177649,259221917,0.0899,0.0001,1.0007,1.0451,13580.7128,40332.939,0.1798,0.0001,0.6877,0.6026
eng,English (WEB translation),Indo-European,Germanic,"328,000,000",Latin,SVO,0,COMPLETE,2000000000,11616265100,3916959000,220242917,377177649,259221917,0.343,0.0379,0.9771,1.0284,14115.4453,40792.9852,0.6861,0.0379,1.0386,0.698
epo,Esperanto,Constructed,Esperanto,1000,Latin,Mixed,0,COMPLETE,74600000,74600000,74600000,397000,414000,397000,0.059,0.0001,3.4859,3.7289,13565.393,47333.6576,0.1181,0.0001,0.6385,0.3867
ewe,Ewe,Niger-Congo,Atlantic-Congo,"2,250,000",Latin,SVO,0,New Testament,0,0,0,0,0,0,0.1129,0.0022,1.3762,1.5036,13620.7869,42509.1387,0.2257,0.0022,0.7303,0.6031
pes,Farsi (Persian),Indo-European,Indo-Iranian,"22,000,000",Arabic,SOV,0,COMPLETE,218000000,11616265100,824900000,0,0,0,0.3433,0.2382,1.0131,1.0123,14203.7923,41034.3723,0.6866,0.2382,1.0335,0.666
fin,Finnish,Uralic,Finno-Ugric,"5,000,000",Latin,SVO,0,COMPLETE,163500000,285500000,352100000,7900000,13201000,13200000,0.1136,0.0012,1.0123,1.0544,13608.3479,40495.0027,0.2272,0.0012,0.7476,0.5275
fra,French,Indo-European,Italic,"58,000,000",Latin,SVO,0,COMPLETE,954000000,11616265100,2513780000,8800000,377177649,36284000,0.3251,0.1087,1.0728,1.0045,13921.6916,40316.7412,0.6502,0.1087,1.0047,0.5559
gbi,Galela,West Papuan,North Halmahera,"79,000",Latin,SOV,0,New Testament,0,0,0,0,0,0,0,0.0001,5.2432,4.9286,185683.148,1397057.0005,0.0001,0.0001,-0.0924,0.6772
deu,German,Indo-European,Germanic,"90,300,000",Latin,Mixed,0,COMPLETE,701000000,11616265100,3916959000,8700000,377177649,259221917,0.3385,0.2323,0.9973,1.0384,13977.1454,41281.0341,0.677,0.2323,1.0412,0.7439
