Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Galela-Cakchiquel,0.1427,0,1.9526,2.0162,3.2433,8157.3037,47.6718,41.8711,0.7529,0.6205
Galela-Bulgarian,0.0873,0.0046,2.6873,2.37835,759.6875,8467.8856,38.6315,29.3556,0.4993,0.5878
Galela-Latin,0.1499,0,2.6524,2.3670,664.5712,8449.9899,38.2194,30.9371,0.5797,0.6470
Galela-Arabic,0.1478,0.00115,2.6479,2.3687,271.0701,8462.9644,44.7566,27.86835,0.6364,0.6447
Galela-Finnish,0.18965,0.0030,2.6121,2.3565,738.2211,8435.7883,38.73145,29.0874,0.7065,0.6693
Galela-Ukranian,0.1557,0.0041,2.6836,2.3751,715.7134,8456.8741,38.25875,28.3148,0.67345,0.6683
Galela-Uspanteco,0.1539,0,1.9008,2.00535,3.5548,8151.95755,44.0767,44.3941,0.7253,0.5966
Galela-Ojibwa,0.0011,0,1.4747,1.3562,9738.8486,46150.1691,52.4421,45.0390,0.5367,0.6227
Galela-Aguaruna,0.1438,0,1.9217,2.1577,3.1116,8227.9992,47.2349,39.8380,0.7627,0.5940
Galela-Nepali,0.1660,0.0021,1.2531,0.8822,824.4700,4346.7529,39.6757,41.7973,0.6972,0.587
Galela-Marathi,0.1707,0.0049,1.5836,1.3474,893.40485,6179.0175,38.78325,29.25615,0.68245,0.6612
Galela-Lukpa,0.0859,0,1.9303,1.7509,102.3677,7978.4026,48.9841,47.8189,0.7020,0.4699
Galela-Turkish,0.1717,0.00115,3.0096,2.7199,858.2632,8631.9452,38.9729,38.5599,0.6599,0.5103
Galela-Farsi,0.14375,0.00225,2.5097,1.9259,864.0300,6696.6794,37.2503,41.6185,0.6697,0.41515
Galela-Paite,0.10365,0,2.0082,2.17785,6.1884,8214.5889,44.5977,38.9193,0.6482,0.5850
Galela-Hindi,0.1469,0,2.6678,2.1205,998.4227,7400.0115,36.1843,41.5953,0.6550,0.490
Galela-Cherokee,0.0020,0,1.36795,1.6624,7356.6563,21926.1485,51.9133,50.8783,0.4739,0.59815
Galela-K'iche'-SIL,0.2018,0,2.0090,1.9998,5.6681,8141.6209,45.7117,40.8809,0.7833,0.6094
Galela-Uma,0.2701,0.0041,0.5477,0.8529,1.4148,2340.5736,51.1439,36.1102,0.8293,0.6302
Galela-Russian,0.1603,0.0021,2.6889,2.2327,836.5547,8188.5385,37.2724,38.6536,0.6656,0.5360
Galela-Syriac,0,0,5.8443,8.5116,1429452.4781,1168015.1896,37.3246,27.2589,0.4595,0.5626
Galela-Xhosa,0.1747,0,2.61355,1.66445,376.0224,7960.3894,43.4053,42.5049,0.6942,0.51775
Galela-English-WEB,0.2436,0.0041,2.6625,2.2501,454.7507,7984.7228,42.4254,41.4900,0.77585,0.4859
Galela-K'iche',0,0.00115,2.8673,2.5280,761584.5865,874474.0368,1.9583,1.9465,0.2373,-0.0465
Galela-Thai,0.1616,0.0021,2.6798,2.2577,782.4847,8343.8970,37.1635,33.9743,0.6805,0.6158
Galela-Campa,0.0450,0,0.5248,0.8852,11.98875,1322.6394,44.0499,38.4526,0.6427,0.60595
Galela-Q'eqchi',0.1792,0,2.09865,1.9385,5.6160,8134.7452,47.71605,38.14665,0.7645,0.6228
Galela-Tagalog,0.1959,0.0044,2.6601,2.1752,646.3075,8275.05715,39.2637,32.2523,0.6974,0.6824
Galela-Barasana,0.1401,0,1.9329,2.6396,24.5720,3512.2471,44.1252,51.7781,0.7170,0.3934
Galela-Nahuatl,0.1840,0,1.3594,0.8872,3.1710,3882.3022,52.1049,40.47085,0.7613,0.6110
Galela-Portuguese,0.1840,0.0040,2.6691,2.3031,791.70585,8258.5795,38.12835,37.3864,0.6799,0.5615
Galela-Zarma,0.1530,0,2.0806,1.9540,2.9954,8070.9960,52.1002,40.0094,0.7429,0.5382
Galela-Korean,0.1171,0.00115,2.6323,2.0243,371.4627,7878.2406,43.7690,41.5478,0.6141,0.4743
Galela-Coptic,0,0,4.8881,4.8034,314549.5239,1410405.5161,50.1011,30.4738,0.4082,0.6525
Galela-Hungarian,0.1809,0.00095,2.6270,2.3790,441.6740,8480.1176,41.3193,28.1308,0.6933,0.6649
Galela-Shona,0.1553,0,2.5754,2.0827,435.7544,8209.14115,42.917,37.2775,0.6785,0.5779
Galela-Cebuano,0.2032,0.0021,2.6084,2.1757,735.8877,8241.5282,38.7820,35.08345,0.7328,0.6575
Galela-Ewe,0.1820,0,1.6733,1.9640,5.3499,8232.9865,47.3585,39.77695,0.7440,0.6165
Galela-Norwegian,0.1752,0.0041,2.6665,2.2741,879.1742,8264.8997,37.2572,36.8239,0.6700,0.5752
Galela-Vietnamese-tok,0.1452,0.00095,2.65655,2.3792,734.1099,8404.9578,37.8985,29.1410,0.69255,0.6767
Galela-Wolaytta,0.0861,0,0.9067,0.8736,11.9278,3297.1386,42.6506,43.66485,0.7207,0.5187
Galela-Kannada,0.1398,0,2.6638,1.5638,663.8761,163450.6778,39.66915,45.6187,0.6472,0.65285
Galela-Dinka,0.0997,0,2.01785,2.1021,17.5131,7660.7762,41.6460,40.6717,0.6537,0.5754
Galela-Indonesian,0.2458,0.0032,1.7584,1.2546,880.9850,6620.2011,38.4715,38.0030,0.7164,0.5690
Galela-English,0.2146,0.00185,2.5988,2.08535,348.8262,7881.3768,44.2890,40.9530,0.7387,0.38295
Galela-Myanmar,0.1088,0,2.6059,1.6094,308.7020,8086.1809,42.340,41.8400,0.6269,0.6887
Galela-Jakalteko,0.17015,0,1.0221,1.2029,24.3368,2335.6027,44.6764,42.3505,0.7698,0.5983
Galela-Slovene,0.1894,0.0021,2.6706,2.3660,620.0947,8487.2000,39.3761,27.4352,0.6807,0.6529
Galela-Greek,0.1401,0.0028,2.5279,2.4119,315.8206,8468.9341,44.1128,27.3307,0.6714,0.6650
Galela-Chinantec,0.1243,0,1.5516,1.2182,96.0359,5422.2468,48.2617,44.1513,0.7652,0.6065
Galela-Icelandic,0.1777,0.0062,2.6802,2.3491,1062.3084,8443.2163,35.6735,28.68545,0.6852,0.6771
Galela-Polish,0.1837,0.00185,2.6354,2.2712,789.7659,8268.6805,38.0150,37.7006,0.6903,0.56185
Galela-Romani,0.1830,0,1.7065,1.7560,10.1025,7745.5652,52.4190,33.66275,0.7350,0.6344
Galela-Maori,0.1403,0,2.6286,2.0802,488.6624,8216.6370,41.5475,36.4552,0.6617,0.6227
Galela-Cabecar,0.16905,0.0032,1.7477,2.07875,14.0783,8187.6431,49.8200,35.6175,0.7399,0.6508
Galela-Mam,0.1376,0.00095,1.8402,1.8615,19.5421,7045.6073,45.3595,37.6405,0.75205,0.6305
Galela-Latvian,0.1606,0.0032,2.6932,2.3944,1004.5634,8459.8892,36.3699,27.81515,0.64505,0.6644
Galela-Chinese,0.1402,0.00095,2.6022,2.3476,94.2430,8417.3969,50.2098,29.2323,0.5967,0.6660
Galela-Japanese-tok,0.1877,0.00185,2.6553,2.2148,394.3759,8272.5979,43.7891,32.87665,0.7376,0.63805
Galela-Albanian,0.1917,0.0062,2.6843,2.1737,760.9417,8014.6031,38.5782,41.1326,0.6999,0.51685
Galela-Basque,0.1660,0.00095,2.5649,2.3646,232.9354,8444.1122,44.3992,30.1409,0.7146,0.6553
Galela-Esperanto,0.1944,0.0041,2.6526,2.4018,765.7599,8461.1703,38.3116,27.73675,0.6962,0.6638
Galela-Gujarati,0.1664,0.00115,1.8413,1.3498,982.6378,25641.8568,38.4205,48.7980,0.6999,0.6258
Galela-Serbian,0.1666,0.0058,2.66425,2.3140,649.5304,8438.2292,39.5667,31.1136,0.6741,0.6159
Galela-Vietnamese,0.1635,0.0030,2.6751,2.3837,802.7402,8437.3931,37.4182,28.9748,0.6927,0.6741
Galela-German,0.1904,0.0044,2.67885,2.1952,708.81365,8116.9218,38.9603,39.75515,0.6679,0.5257
