Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Galela-Cakchiquel,0,0,0,0,0,0,0,0,0.0332,0.1248,0,0,0.2755,0.1641,0.3316,0.3318
Galela-Bulgarian,152800000,11616265100,3338920000,4900000,377177649,49200000,0,0,0.0168,0.1553,0,1,0.1813,0.3043,0.441,0.4024
Galela-Latin,14470000,11616265100,2513780000,19000,377177649,36284000,0,0,0.297,0.1467,0,1,0.2061,0.1594,0.4307,0.4024
Galela-Arabic,197900000,495945000,475664000,8200000,12677000,12388000,0,0,0.0075,0.1459,0,1,0.1434,0.2895,0.5203,0.4949
Galela-Finnish,163500000,285500000,352100000,7900000,13201000,13200000,0,0,0.3048,0.175,0,1,0.1686,0.1932,0.4339,0.3453
Galela-Ukranian,183100000,11616265100,3338920000,1400000,377177649,49200000,0,0,0.0152,0.1567,0,1,0.1799,0.2488,0.5031,0.4024
Galela-Uspanteco,0,0,0,0,0,0,0,0,0.2449,0.1591,0,0,0.275,0.1641,0.3316,0.3318
Galela-Ojibwa,0,0,0,0,0,0,0,0,0.0138,0.1536,0,0,0.233,0.3069,0.3851,0.2857
Galela-Aguaruna,0,0,0,0,0,0,0,0,0.467,0.1901,1,0,0.301,0.3784,0.5581,0.1429
Galela-Nepali,33170000,11616265100,824900000,0,0,0,0,0,0.0266,0.1332,1,1,0.0557,0.1819,0.6226,0.4024
Galela-Marathi,64700000,11616265100,824900000,31000,377177649,8029000,0,0,0.0318,0.1473,1,1,0.0651,0.2574,0.5859,0.3701
Galela-Lukpa,0,0,0,0,0,0,0,0,0.2949,0.1741,0,1,0.2507,0.1824,0.4543,0.5442
Galela-Turkish,254000000,480227000,480227000,5700000,6283000,6283000,0,0,0.356,0.1655,1,1,0.167,0.3649,0.5985,0.4302
Galela-Farsi,218000000,11616265100,824900000,0,0,0,0,0,0.0274,0.1347,1,1,0.117,0.2061,0.4991,0.4545
Galela-Paite,0,0,0,0,0,0,0,0,0.4543,0.1865,0,1,0.0387,0.1824,0.5518,0.4302
Galela-Hindi,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0359,0.1414,1,1,0.0682,0.3525,0.5031,0.4545
Galela-Cherokee,0,0,0,0,0,0,0,0,0.0199,0.1731,1,0,0.2647,0.2298,0.441,0.2857
Galela-K'iche'-SIL,49440000,334050000,227740000,0,0,0,0,0,0.4276,0.1635,1,1,0.0647,0.2414,0.6559,0.3701
Galela-Uma,0,0,0,0,0,0,0,0,0.4905,0.243,0,1,0.0023,0.0451,0.2231,0.2023
Galela-Russian,1761000000,11616265100,3338920000,9300000,377177649,49200000,0,0,0.0297,0.1552,0,1,0.103,0.3235,0.509,0.4024
Galela-Syriac,0,0,0,0,0,0,0,0,0.0133,0.1536,0,1,0.1473,0.2079,0.467,0.4545
Galela-Xhosa,4690100,145299300,145299300,0,0,0,0,0,0.4627,0.1845,0,1,0.1863,0.2075,0.3691,0.4655
